input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number,veridion_id,company_name,company_legal_names,company_commercial_names,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,locations,num_locations,company_type,year_founded,revenue,revenue_type,employee_count,employee_count_type,generated_description,generated_business_tags,short_description,long_description,business_tags,naics_2022_primary_code,naics_2022_primary_label,main_business_category,main_industry,main_sector,sics_codified_industry,sics_codified_industry_code,sics_codified_subsector,sics_codified_subsector_code,sics_codified_sector,sics_codified_sector_code,sic_codes,sic_labels,ibc_insurance_labels,isic_v4_codes,isic_v4_labels,nace_rev2_codes,nace_rev2_labels,ibc_insurance_codes,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_tld,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,youtube_url,technologies,created_at,last_updated_at,score,salary
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,,,,4f44b02e-17aa-11f0-87dc-2b7a69541cf4,ATKEARNEY,,ATKEARNEY,,,,,,,,,,,,Private,,,,,,"Atkearney is a company specializing in automated investment solutions through professional algorithms and artificial intelligence. The company offers a comprehensive platform that covers major cryptocurrencies and multiple asset types, providing users with a wide range of investment strategies continuously updated to cater to diverse preferences. Atkearney employs a professional quantitative team to screen the best strategy combinations daily, ensuring rigorous risk control and safety for user funds. The platform features 24/7 online consulting services and each strategy is managed by a dedicated team to provide full-process tracking and optimization.","Investment Preferences | 24/7 Consulting Services | Smart Micro-strategies | Financial Services | Fully Automated, Barrier-free Intelligent Investment Solution | High Frequency Trading | Comprehensive Coverage of Cryptocurrencies | Professional Quantitative Team Screening | Stringent Risk Control Mechanisms","Not only do we have a diversified strategy library, but each manager is an expert in their respective field, using cutting-edge technology and high-frequency trading techniques to safeguard your investments.","Massive Strategies Continuously Updated, Catering to Diverse Investment Preferences. Sign up now to easily achieve financial freedom. Our team of strategy managers is a solid backing for your wealth growth. Not only do we have a diversified strategy library, but each manager is an expert in their respective field, using cutting-edge technology and high-frequency trading techniques to safeguard your investments. Our platform uses TRC20-USDT, TRX, BEP20-USDT, and BNB cryptocurrencies on the blockchain.",,523940.0,Portfolio Management and Investment Advice,Investment Firms & Venture Capital,Investment Firms & Consultants,Finance & Insurance,Software & IT Services,TC-SI,Technology,TC.1,Technology & Communications,TC,6371 | 6799 | 6733 | 6282 | 6282,"Pension, Health, and Welfare Funds (managers) | Investors, NEC (commodity contract pool operators) | Trusts, Except Educational, Religious, and Charitable (managers) | Investment Advice (portfolio managers) | Investment Advice (except portfolio managers)",,6630 | 6619,Fund management activities | Other activities auxiliary to financial service activities,66.3 | 66.19,"Fund management activities | Other activities auxiliary to financial services, except insurance and pension funding",,,,,,,https://atkearney.top/#/,atkearney.top,top,en,,,,,,,2025-02-09T07:01:53.000Z,2025-02-09 07:01:53+00:00,34.56,
32,AMDOCS DEVELOPMENT LIMITED,CY,Cyprus,Limassol District,Limassol,3085,,,461e4353-c9c9-11eb-8a8e-15cad78dac8b,Amdocs,,Amdocs,US,United States,Missouri,Chesterfield,63017,,,,,"US, United States, Missouri, Chesterfield, 63017, , , 53.2352134, -1.4264097",1.0,Private,,191821.0,modelled,1.0,extracted,"Echo Creative Labs is a company based in Derby, England, United Kingdom.",Registrar and Transfer Agent Services | Corporate Information Services | IT Services | Bespoke Practical Interfaces Development | Financial File Services | Ordinary Shares | 541511 - Custom Computer Programming Services | Securities and Exchange Commission Filing | Nasdaq Global Select Market | Annual Shareholders Meeting | Digital Document Creation | Stock Transfer and Trust Services | Independent Certified Public Accounting Firm | High-end Bespoke Web Development | Outside Counsel Services | Software Development,Low cost bespoke web development,A Front End Developer based in Hertfordshire. I'm also currenly developing my own digital platform as a PaaS. The Company's ordinary shares are listed on the NASDAQ Global Select Market under the symbol DOX.,Html & Css | Web Designing | Bespoke Web Development | Frontend Developer | Styled Components | Api Developers | Web Tools | Letter To Shareholders | Outside Counsel | Public Accounting,541511.0,Custom Computer Programming Services,Web Development Agencies,Digital Agencies,Advertising & Marketing,Professional & Commercial Services,SV-PS,Consumer Services,SV.3,Services,SV,7371,Computer Programming Services,Software Implementation Integration | Technology Customer Support Services (For others) | Software Developers (Pre-Packaged) | Software Developers (Custom) | Management Consultants,6201,Computer programming activities,62.01,Computer programming activities,740810 | 740809 | 891801 | 891802 | 641401,441332510519.0,+12127736350 | +12124504111 | +13142128328 | +441332510519 | +12127015111 | +12127733000 | +18778382874 | +17182362641,dox_info@amdocs.com,,,https://ech0.co.uk/,ech0.co.uk,co.uk,en,,,,,,ecommerce: snipcart | miscellaneous: webpack | static site generator: next.js - 11.1.2 | web servers: next.js - 11.1.2 | rum: web-vitals | javascript frameworks: react | development: styled-components - 5.3.1 | javascript libraries: core-js - 3.12.1 | javascript frameworks: next.js - 11.1.2 | font scripts: google font api | security: hsts | programming languages: node.js | paas: vercel | web frameworks: next.js - 11.1.2 | javascript libraries: web-vitals | javascript frameworks: styled-components - 5.3.1,2021-06-08T09:00:36.000Z,2025-04-17 11:09:28.650000+00:00,13.04,
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",DK,Denmark,Capital Region Of Denmark,Copenhagen,2300,,,0078e966-93e5-11eb-b997-8dd98d09cf25,American Steakhouse,,American Steakhouse,DK,Denmark,,,,,,,,"DK, Denmark, , , , , , 55.670249938964844, 10.333328247070312",1.0,Private,,752435.0,modelled,15.0,modelled,,Foodservice | American Steakhouse | Meat Products | Butcher Shop | Take-away Services,American Steakhouse is a steakhouse restaurant based in Denmark.,,,722511.0,Full-Service Restaurants,Steakhouse Restaurants,Restaurants,Accommodation & Food Services,"Meat, Poultry & Dairy",FB-MP,Food,FB.1,Food & Beverage,FB,5812,Eating Places (full-service restaurants),Retail - Butcher Shop | Wholesale - Produce (Fruits / Vegetables) | Retail - Convenience / Variety / Tobacco Store | Retail - Specialty Food Stores (Not Otherwise Classified) | Retail - Grocery,5610,Restaurants and mobile food service activities,56.1,Restaurants and mobile food service activities,543302 | 506301 | 599101 | 543301 | 541001,,,,,,https://butcher.dk/,butcher.dk,dk,da,,,,,,analytics: facebook custom audiences | maps: google maps | font scripts: google font api | miscellaneous: http/3 | widgets: facebook | retargeting: facebook custom audiences | miscellaneous: open graph | network devices: html | web servers: apache http server | tag managers: google tag manager | javascript libraries: jquery | retargeting: facebook | ssl/tls certificate authorities: sectigo | javascript frameworks: jquery | analytics: google analytics,2019-11-24T01:31:37.000Z,2023-07-05 13:05:25+00:00,53.2,
35,ANALYSYS MASON AS,NO,Norway,Oslo,Oslo,0252,,,47f2ac00-0bf2-11ec-82be-4be358ffe886,AnalySys,AnalySys Co. Ltd.,AnalySys,JP,Japan,Tokyo,Tokyo,100-0005,,1,35.67944879999999,139.762115,"JP, Japan, Tokyo, Tokyo, 100-0005, , 1, 35.67944879999999, 139.762115",1.0,Private,2016.0,7445415.0,modelled,75.0,modelled,AnalySys is a company that specializes in wedding planning services and offers features of a new generation wedding banquet system.,Streamline Desk Work | Sales Improvement | Business Efficiency Solutions | Sales-order Analysis Reports | Computer Consulting Services | Wedding Support System | Order Intake | Order Receiving Solutions | Wedding Planning | IT Technology Solutions | Custom Programming Services | Wedding Planning Services | IT Consulting Services | Software Development Services | Real-time Customer Behavior Analysis,AnalySys provides services of wedding planning also Features of the new generation wedding banquet system-porbs.,"AnalySys provides services of wedding planning also 
Features of the new generation wedding banquet system-porbs.",Wedding Planning | Weddings And Banquets,541511.0,Custom Computer Programming Services,Software Development Services,Software & IT Services,IT&C Services,Software & IT Services,TC-SI,Technology,TC.1,Technology & Communications,TC,7371,Computer Programming Services,,6201,Computer programming activities,62.01,Computer programming activities,,81332870117.0,+81332870117,,,,https://analysys.co.jp/,analysys.co.jp,co.jp,ja,https://www.facebook.com/wetuku.magazine/,,,,,javascript libraries: core-js | caching: wp rocket | wordpress themes: astra | seo: all in one seo pack | miscellaneous: rss | web servers: empathy platform | performance: priority hints | analytics: google universal analytics | javascript libraries: swiper | miscellaneous: webpack | wordpress plugins: elementor | font scripts: google font api | reverse proxies: nginx | wordpress plugins: all in one seo pack | databases: mysql | miscellaneous: module federation | issue trackers: really simple discovery | wordpress plugins: elementor header & footer builder | cms: site.com | miscellaneous: open graph | network devices: html | miscellaneous: jquery easing | font scripts: font awesome | javascript libraries: jquery ui | javascript libraries: imagesloaded | cms: wordpress | blogs: wordpress | geolocation: twitter cards | tag managers: google tag manager | javascript libraries: jquery | web servers: nginx | wordpress plugins: wp rocket | programming languages: php | javascript libraries: jquery migrate | page builders: elementor | analytics: google analytics,2021-09-02T12:21:18.000Z,2025-04-16 22:38:30.212000+00:00,12.12,
40,ANRITSU A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,2300,,,172e7ea7-0523-11ec-a64f-cb86dbe4969b,ANRITSU,,ANRITSU,,,,,,,,,,,,Private,,,,,,"Tianjin Xingde Food Co., Ltd. is a joint-equity enterprise that specializes in the manufacturing and sales of vegetable products. The company has a strong reputation in both domestic and international markets due to its experienced and capitalized team.",Food Products Manufacturer/exporter | Soybean Meal Manufacturer,,,,311412.0,Frozen Specialty Food Manufacturing,Fruit & Vegetable - Markets & Stores,Food Producers & Distributors,Food & Beverages,"Meat, Poultry & Dairy",FB-MP,Food,FB.1,Food & Beverage,FB,2038,"Frozen Specialties, NEC",Wholesale - Meat / Fish / Poultry | Retail - Specialty Food Stores (Not Otherwise Classified) | Meat / Poultry Rendering / Fish Oil / Fish Meal Manufacturing | Retail - Butcher Shop | Fish / Seafood Processing (Fresh),1071 | 1074 | 1075 | 1079,"Manufacture of bakery products | Manufacture of macaroni, noodles, couscous and similar farinaceous products | Manufacture of prepared meals and dishes | Manufacture of other food products n.e.c.",10.73 | 10.85 | 10.86 | 10.89 | 10.84 | 10.83 | 10.72 | 10.71,"Manufacture of macaroni, noodles, couscous and similar farinaceous products | Manufacture of prepared meals and dishes | Manufacture of homogenised food preparations and dietetic food | Manufacture of other food products n.e.c. | Manufacture of condiments and seasonings | Processing of tea and coffee | Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes | Manufacture of bread; manufacture of fresh pastry goods and cakes",506201 | 543301 | 210001 | 543302 | 200301,,,,,,https://tiancunwu.com/,tiancunwu.com,com,zh,,,,,,editors: dreamweaver | programming languages: adobe flash,2021-08-24T10:03:48.000Z,2024-07-20 14:51:48+00:00,16.240000000000002,
60,Aviat Networks Japan LLC,JP,Japan,,,,,,a3b73ba0-c4fc-11ec-b6cb-fdc55dfeae3a,Aviat Networks,,Aviat Networks | AVIAT NETWORKS Official Wireless Transmission Blog,,,,,,,,,,,,Private,,,,,,"Aviat Networks is a wireless transmission company that focuses on sharing experiences and insights on trends, technology, and business in the wireless industry. They have an official wireless transmission blog that covers topics such as network evolution, software usability, and services. One of their partners, MIMP Connecting Solutions, uses Aviat Networks microwave solutions to reach remote customers beyond the NBN fiber footprint, providing an affordable method to extend the benefits of wireless broadband internet into the bush. The company also offers an integrated microwave-IP/MPLS solution that reduces latency, which is important to all network operators.",Wireless Transmission | Software Usability,"While the main purpose of this blog is to talk about wireless transmission, we will also cover topics such as network evolution, software usability, services, and more.","This leaves it to alternative access providers to fill the gap. One of these providers, Aviat partner MIMP Connecting Solutions , decided to use Aviat Networks microwave solutions to reach remote customers beyond the NBN fiber footprint. Microwave radio provides an affordable method to extend the benefits of the wireless broadband internet into the bush, according to Allan Aitchison, MIMP telecommunications expert. Simply known as the Aviat CTR platform, this next-generation microwave router delivers eight key benefits that make designing and implementing a modern backhaul network easier and more cost effective than ever. With all these robust benefits, the Aviat CTR platform can enable a new flat network architecture for VPN services for enterprise, government and mobile. When using IRU 600 EHP extra high power radios, microwave backhaul networks can use fewer large antennas and more small antennas. There's an economy of scale linked to filling a truck. Here at Aviat Networks we are focused on everything that is wireless transmission.",Wireless Transmission | High Speed Internet | Microwave Radio | Cisco Routers | Microwave Links | Engine & Transmission | Switching & Routing | Converged Networks | Power Over Ethernet | Internet Services Provider,517112.0,Wireless Telecommunications Carriers (except Satellite),Cable & Internet Providers,Telecommunication Services,IT&C Services,Telecommunication Services,TC-TL,Telecommunications,TC.4,Technology & Communications,TC,4812 | 4899 | 4812,"Radiotelephone Communications (cellular carriers) | Communications Services, NEC (ship to shore broadcasting carriers) | Radiotelephone Communications (paging carriers)",,6120,Wireless telecommunications activities,61.2,Wireless telecommunications activities,,,,,,,https://aviatnetworks.wordpress.com/,aviatnetworks.wordpress.com,com,en,,https://twitter.com/aviatnetworks,,,https://www.youtube.com/aviatnetworks,widgets: twitter | miscellaneous: rss | font scripts: google font api | security: hsts | reverse proxies: nginx | video players: youtube | databases: mysql | miscellaneous: gravatar | miscellaneous: open graph | paas: wordpress.com | cms: wordpress | blogs: wordpress | ssl/tls certificate authorities: sectigo | web servers: nginx | advertising: twitter ads | programming languages: php,2022-04-26T03:41:15.000Z,2024-02-19 14:47:43+00:00,35.92,
162,Egencia Sweden AB,SE,Sweden,Stockholm County,Stockholm,117 43,Fredsborgsgatan,24,49c538c1-0505-11ec-8ca3-7ba9e5b40c47,Egencia Switzerland,Egencia GmbH,Egencia Switzerland | Egencia | GBT,GB,United Kingdom,England,London,E14 5HU,Churchill Place,5,51.5046506,-0.0135141880533771,"GB, United Kingdom, England, London, E14 5HU, Churchill Place, 5, 51.5046506, -0.013514188053377101 | SE, Sweden, Skåne County, Malmo, , , , 55.6052931, 13.0001566 | SE, Sweden, Västra Götaland County, Gothenburg, 411 10, , , 57.7072326, 11.9670171 | LV, Latvia, Rīga, Rīga, , , , 56.9493977, 24.1051846 | GT, Guatemala, Guatemala Department, Guatemala City, , , , 14.6222328, -90.5185188 | BE, Belgium, Brussels-Capital, Brussels, , , , 50.8465573, 4.351697 | RU, Russia, Moscow, Moscow, 103073, , , 55.7505412, 37.6174782 | FI, Finland, Uusimaa, Helsinki, , , , 60.1674881, 24.9427473 | BR, Brazil, São Paulo, São Paulo, , , , -23.5506507, -46.6333824 | UA, Ukraine, Kyiv, Kyiv, , , , 50.4500336, 30.5241361",69.0,Private,,,,,,"Egencia, legally known as Egencia LLC., is a global business travel management company. It provides a comprehensive platform for managing corporate travel, including travel risk management, expense management, and travel policy compliance. The company supports over 9,000 companies worldwide and serves more than 2 million travelers in over 60 countries. Egencia is known for its AI-driven insights, industry-leading global content, and innovative distribution capabilities. It is a subsidiary of American Express Global Business Travel (Amex GBT).",Industry Solutions | Legal Services | Logistics Services | Travel Risk Management | Reporting Services | Travel and Expense Management Services Provider | Robust Integrations | B2B Travel Platform | API Open Platform,"Discover corporate travel management solutions that suit any business, large or small. Egencia is making business travel easier — and better.","Egencia is always working to deliver travellers, travel managers, and travel arrangers unrivalled choice, value, and experience, with the trusted support of Amex GBT. Our platform can be optimised for all types of users, in companies big or small. We originated in the labs of global tech giants and now we are part of the world's most valuable B2B travel solution. Our AI delivers custom user experiences that add value to your company's travel programme. We lead the industry with over 290 global airlines and 650,000 lodging partners. The unique content from Amex GBT Egencia provides unrivalled choice and value for air, hotel, car and rail. Our platform and services are consistently rated above 95% satisfaction by customers. We provide services to more than 2 million travellers in over 60 countries. Amex GBT Egencia proudly supports over 9,000 companies of all sizes around the world. Our technology provides the smartest, quickest shopping experience to give the best routes and rates based on user preferences.",Business Travellers | Travel Manager | Corporate Travels | Last Minute Hotel Deals | Human Resources | Travel Experience | Transportation & Logistics | Traveler Services | Travel Consultants | Travel Risk Management,561510.0,Travel Agencies,Travel Agencies,Travel Agencies,Other Consumer Services,Professional & Commercial Services,SV-PS,Consumer Services,SV.3,Services,SV,4724,Travel Agencies,Software Developers (Pre-Packaged) | Software Developers (Custom) | Travel Agencies | Management Consultants | Technology Customer Support Services (For others),7911,Travel agency activities,79.11,Travel agency activities,891801 | 891802 | 729801 | 641401 | 740809,,,gbtprivacy@amexgbt.com,,,https://www.egencia.ch/,egencia.ch,ch,en,https://www.facebook.com/EgenciaBusinessTravel/,https://twitter.com/Egencia,,https://www.linkedin.com/company/egencia,https://www.youtube.com/channel/UC6RjB6tXwztw4qaB7pxmbbw,analytics: adobe analytics | security: recaptcha | customer data platform: adobe experience platform identity service | javascript libraries: lazysizes | cdn: akamai | font scripts: google font api | security: hsts | video players: wistia | javascript libraries: select2 | miscellaneous: open graph | cookie compliance: onetrust | javascript libraries: jquery ui | marketing automation: marketo | seo tool: facebook friendly | cms: drupal | analytics: linkedin insight tag | tag managers: google tag manager | javascript libraries: jquery | web mail: marketo mail | seo tool: twitter friendly | security: akamai bot manager | programming languages: php | performance: lazysizes | analytics: google analytics,2021-08-24T06:02:50.000Z,2024-11-08 13:19:55+00:00,5.36,
173,ERICSSON AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,4F,ff083300-a7b5-11ed-bec3-afeedabcf530,Ericsson AS,,Ericsson AS,NO,Norway,,Oslo,0179,Grubbegata,14,59.916385650634766,10.747699737548828,"NO, Norway, , Oslo, 0179, Grubbegata, 14, 59.916385650634766, 10.747699737548828",1.0,Private,,,,,,"Jostein Rønsen Architects AS is a Norwegian architecture firm that specializes in design, concept development, project management, project administration, and project management. The company has a strong focus on building construction, school projects, healthcare buildings, and technically complicated projects. They have also been involved in the development of residential projects and regulatory plans. The firm has won several architectural competitions both domestically and internationally. The team consists of several civil architects, including Josteinn, Anne, Jouko, Knut Arild, Romain, and Anders. The office has collaborated with Aviaplan AS as project managers for the construction of the ""New Headquarters and Security Building"" for OSL on Gardermoen, which was awarded the ""Betongtavlen"" award for excellent concrete building art.",Con Participation in Architectural Competitions | Project Management Services | Design Projects for Schools | Technical Design Project Development Services | Commercial Buildings | Concept Development Services | Healthcare Buildings Design Services,"I okt. 1998 var kontoret med på å vinne 1.premie i innbudt arkitektkonkurranse om oppføring av ""Nytt hovedkontor for Ericsson AS"".","Firmaet sitter i dag i åpne og utadrettede kontorlokaler i Grubbegata 14. I okt. 1998 var kontoret med på å vinne 1.premie i innbudt arkitektkonkurranse om oppføring av ""Nytt hovedkontor for Ericsson AS"".",,541310.0,Architectural Services,Architects & Architectural Services,Architecture & Planning,Architecture & Engineering Services,Engineering & Construction Services,IF-EN,Infrastructure,IF.2,Infrastructure,IF,8712,Architectural Services,,7110,Architectural and engineering activities and related technical consultancy,71.11 | 71.12,Architectural activities | Engineering activities and related technical consultancy,,,,,,,https://epignosis.no/,epignosis.no,no,no,,,,,,,2023-02-05T21:43:59.000Z,2023-05-24 23:15:31+00:00,70.0,
185,EXPRESS PUBLICATIONS (PVT.) LIMITED,PK,Pakistan,,,,,,02833843-93e5-11eb-b4a6-27899be4e45d,ISHTIAQ ALI,Express Digital Pvt. LTD.,ISHTIAQ ALI,PK,Pakistan,Sindh,Karachi,,,,,,"PK, Pakistan, Sindh, Karachi, , , , 24.8546842, 67.0207055",1.0,Private,,4652.0,modelled,1.0,extracted,"Ishtiaqali is a digital marketing specialist with over 7 years of experience in Google products such as Google Ad Manager, Google Ad Exchange, Google Advertising, Google Analytics, Google Ads, and Google Search Console. They also specialize in boosting Facebook Ads and PPC, as well as Google Analytics. Ishtiaq Ali is an expert in digital marketing, advertising operations, SEO, social media management, web traffic analysis, web development, digital marketing design, and marketing.",Google Analytics | Advertising Operation Specialists | Facebook Ads and PPC Services | Project Name Web Design | Social Media Management Services | SEO Services | Web Traffic Analysis Services | Google Search Console | Microsoft Office | Google Ad Manager | Digital Content Creation | HTML/CSS/JS | Adobe Photoshop CC | Website Development Services | Wordpress CMS | Video and Graphic Content Management,"Hi, my name is Ishtiaq Ali. Manage Video and Textual content, using the CMS of Wordpress 01-Jan-2010 to 31-Dec-2010.","Ishtiaq Ali is an expert Digital Marketing Specialist, having 10+ experience in the field of Digital Marketing with strong analytical skills.",Digital Content Creation | Computational Science | Video And Graphics,541511.0,Custom Computer Programming Services,Search Engine Optimization,Digital Agencies,Advertising & Marketing,Advertising & Marketing,SV-AD,Media,SV.1,Services,SV,7371,Computer Programming Services,Software Developers (Pre-Packaged) | Software Developers (Custom) | Advertising Agencies | Technology Customer Support Services (For others) | Software Implementation Integration,6201,Computer programming activities,62.01,Computer programming activities,891801 | 891802 | 731201 | 740809 | 740810,923417601887.0,+923417601887,info@ishtiaqali.com,info@ishtiaqali.com,,https://ishtiaqali.com/,ishtiaqali.com,com,en,https://www.facebook.com/ishtiaq4ali/,https://twitter.com/ishtiaq4ali,https://www.instagram.com/ishtiaq4ali/,,,,2020-07-16T18:14:24.000Z,2023-12-13 18:12:18+00:00,67.0,
186,Extenda Retail AS Avd Oslo,NO,Norway,Vestfold Og Telemark,Tønsberg,3157,Wirgenes Vei,19,5890bff3-112b-11ec-b06c-d1fadf322ad0,EXTENDA RETAIL,Re-Vision BV.,EXTENDA RETAIL,NO,Norway,Vestfold Og Telemark,Tønsberg,3157,Wirgenes Vei,19,59.30819320678711,10.385655403137209,"NO, Norway, Vestfold og Telemark, Tønsberg, 3157, Wirgenes vei, 19, 59.30819320678711, 10.385655403137207 | SE, Sweden, Stockholm County, Solna kommun, 169 73, Gustav III:s boulevard, 50a, 59.37331008911133, 18.015239715576172 | SE, Sweden, Västra Götaland County, Gothenburg, 411 40, Ullevigatan, 17-19, 57.70641326904297, 11.98386287689209 | NO, Norway, , Oslo, 0277, Karenslyst allé, 55, 59.9214973449707, 10.678413391113281",4.0,,1982.0,,,1.0,extracted,"Extenda Retail is a software development company that offers a comprehensive range of solutions to optimize the business and customer experience of retailers and logistics providers. Their portfolio includes Hii Retail, POS & Checkout, WMS, Customer Intelligence & Loyalty, and Pharmacy software. With over 40 years of experience, they are an industry leader in retail software development and have worked with hundreds of retail chains in over 37 countries worldwide. The company is owned by STG Partners, a private equity firm based in California, U.S., with a successful track record of investments in the retail sector. Extenda Retail combines their extensive retail knowledge with a passion for innovation and peerless software to inspire retailers to go further and grow their business.",Retail Software Development | Checkout Point of Sale Software | Customer Intelligence & Loyalty Software | Software Development Services,"At Extenda Retail we combine our extensive retail knowledge with our passion for innovation, humanity and peerless software - always inspiring retailers to go further.","Combining our extensive retail knowledge with our passion for innovation, people and peerless software. Inspiring retailers to go further. We're about as knowledgeable when it comes to retail as one could possibly be. We eat, sleep and dream retail. Based on this expertise, we build software that offers great opportunities for retailers to up their game. So they can go places their competitors won't. Put simply: We inspire retailers to go further. New ways of doing retail business are developing at an amazing pace. We see possibilities emerge in new technologies and shifting paradigms. And we make it our role not to follow, but to lead. To contribute to our client's success is always our focus. Re-Vision helps retailers deliver extraordinary shopping experiences by incorporating digital commerce capabilities into the physical store environment. People like to shop. Consumers can enjoy a digital in-store shopping experience on their own or retailer-provided device, and retailers can shape the consumer journey to deliver a unique brand experience.",,,,,,,,,,,,,,,,,,,,,,,,,,https://44749.org/,44749.org,org,en,https://www.facebook.com/extendaretail/,https://twitter.com/extendaretail,,https://www.linkedin.com/company/extenda-retail,,,2021-09-09T03:00:37.000Z,2024-02-11 17:36:30+00:00,88.0,
